model,instruction_type,condition,replicate,budget,k,provider,model_id,role,run_id,presentation_seed,status,ok,stop_reason,input_tokens,output_tokens,error
gpt_terra,creativity,k_fixed,23,fixed,15,openai,gpt-5.6-terra,primary,run_173,2199,success,TRUE,completed,3682,1178,NA
gpt_terra,creativity,k_fixed,24,fixed,15,openai,gpt-5.6-terra,primary,run_174,2200,success,TRUE,completed,3682,1134,NA
gpt_terra,creativity,k_fixed,25,fixed,15,openai,gpt-5.6-terra,primary,run_175,2201,success,TRUE,completed,3682,1096,NA
gpt_terra,creativity,k_fixed,26,fixed,15,openai,gpt-5.6-terra,primary,run_176,2202,success,TRUE,completed,3682,1163,NA
gpt_terra,creativity,k_fixed,27,fixed,15,openai,gpt-5.6-terra,primary,run_177,2203,success,TRUE,completed,3682,1045,NA
gpt_terra,creativity,k_fixed,28,fixed,15,openai,gpt-5.6-terra,primary,run_178,2204,success,TRUE,completed,3682,1198,NA
gpt_terra,creativity,k_fixed,29,fixed,15,openai,gpt-5.6-terra,primary,run_179,2205,success,TRUE,completed,3682,1065,NA
gpt_terra,creativity,k_fixed,30,fixed,15,openai,gpt-5.6-terra,primary,run_180,2206,success,TRUE,completed,3682,1162,NA
sonnet5,basic,k_free,1,free,NA,anthropic,claude-sonnet-5,primary,run_181,2207,success,TRUE,end_turn,6800,3393,NA
sonnet5,basic,k_free,2,free,NA,anthropic,claude-sonnet-5,primary,run_182,2208,success,TRUE,end_turn,6800,4731,NA
sonnet5,basic,k_free,3,free,NA,anthropic,claude-sonnet-5,primary,run_183,2209,success,TRUE,end_turn,6800,4812,NA
sonnet5,basic,k_free,4,free,NA,anthropic,claude-sonnet-5,primary,run_184,2210,success,TRUE,end_turn,6800,4539,NA
sonnet5,basic,k_free,5,free,NA,anthropic,claude-sonnet-5,primary,run_185,2211,success,TRUE,end_turn,6800,5924,NA
sonnet5,basic,k_free,6,free,NA,anthropic,claude-sonnet-5,primary,run_186,2212,success,TRUE,end_turn,6800,5064,NA
sonnet5,basic,k_free,7,free,NA,anthropic,claude-sonnet-5,primary,run_187,2213,success,TRUE,end_turn,6800,4202,NA
sonnet5,basic,k_free,8,free,NA,anthropic,claude-sonnet-5,primary,run_188,2214,success,TRUE,end_turn,6800,4356,NA
sonnet5,basic,k_free,9,free,NA,anthropic,claude-sonnet-5,primary,run_189,2215,success,TRUE,end_turn,6800,3789,NA
sonnet5,basic,k_free,10,free,NA,anthropic,claude-sonnet-5,primary,run_190,2216,success,TRUE,end_turn,6800,5195,NA
