model,instruction_type,condition,replicate,budget,k,provider,model_id,role,run_id,presentation_seed,status,ok,stop_reason,input_tokens,output_tokens,error
gpt_terra,quality,k_fixed,3,fixed,15,openai,gpt-5.6-terra,primary,run_163,10002189,success,TRUE,completed,3656,1056,NA
gpt_terra,quality,k_fixed,4,fixed,15,openai,gpt-5.6-terra,primary,run_164,10002190,success,TRUE,completed,3656,1541,NA
gpt_terra,quality,k_fixed,5,fixed,15,openai,gpt-5.6-terra,primary,run_165,10002191,success,TRUE,completed,3656,1109,NA
gpt_terra,quality,k_fixed,6,fixed,15,openai,gpt-5.6-terra,primary,run_166,10002192,success,TRUE,completed,3656,1352,NA
gpt_terra,quality,k_fixed,7,fixed,15,openai,gpt-5.6-terra,primary,run_167,10002193,success,TRUE,completed,3656,1182,NA
gpt_terra,quality,k_fixed,8,fixed,15,openai,gpt-5.6-terra,primary,run_168,10002194,success,TRUE,completed,3656,1020,NA
gpt_terra,quality,k_fixed,9,fixed,15,openai,gpt-5.6-terra,primary,run_169,10002195,success,TRUE,completed,3656,1152,NA
gpt_terra,quality,k_fixed,10,fixed,15,openai,gpt-5.6-terra,primary,run_170,10002196,success,TRUE,completed,3656,1144,NA
gpt_terra,quality,k_fixed,11,fixed,15,openai,gpt-5.6-terra,primary,run_171,10002197,success,TRUE,completed,3656,1176,NA
gpt_terra,quality,k_fixed,12,fixed,15,openai,gpt-5.6-terra,primary,run_172,10002198,success,TRUE,completed,3656,1009,NA
gpt_terra,quality,k_fixed,13,fixed,15,openai,gpt-5.6-terra,primary,run_173,10002199,success,TRUE,completed,3656,985,NA
gpt_terra,quality,k_fixed,14,fixed,15,openai,gpt-5.6-terra,primary,run_174,10002200,success,TRUE,completed,3656,1180,NA
gpt_terra,quality,k_fixed,15,fixed,15,openai,gpt-5.6-terra,primary,run_175,10002201,success,TRUE,completed,3656,1181,NA
gpt_terra,quality,k_fixed,16,fixed,15,openai,gpt-5.6-terra,primary,run_176,10002202,success,TRUE,completed,3656,1008,NA
gpt_terra,quality,k_fixed,17,fixed,15,openai,gpt-5.6-terra,primary,run_177,10002203,success,TRUE,completed,3656,1152,NA
gpt_terra,quality,k_fixed,18,fixed,15,openai,gpt-5.6-terra,primary,run_178,10002204,success,TRUE,completed,3656,1061,NA
gpt_terra,quality,k_fixed,19,fixed,15,openai,gpt-5.6-terra,primary,run_179,10002205,success,TRUE,completed,3656,989,NA
gpt_terra,quality,k_fixed,20,fixed,15,openai,gpt-5.6-terra,primary,run_180,10002206,success,TRUE,completed,3656,1193,NA
gpt_terra,quality,k_fixed,21,fixed,15,openai,gpt-5.6-terra,primary,run_181,10002207,success,TRUE,completed,3656,1060,NA
gpt_terra,quality,k_fixed,22,fixed,15,openai,gpt-5.6-terra,primary,run_182,10002208,success,TRUE,completed,3656,1043,NA
gpt_terra,quality,k_fixed,23,fixed,15,openai,gpt-5.6-terra,primary,run_183,10002209,success,TRUE,completed,3656,1180,NA
gpt_terra,quality,k_fixed,24,fixed,15,openai,gpt-5.6-terra,primary,run_184,10002210,success,TRUE,completed,3656,1172,NA
gpt_terra,quality,k_fixed,25,fixed,15,openai,gpt-5.6-terra,primary,run_185,10002211,success,TRUE,completed,3656,1218,NA
gpt_terra,quality,k_fixed,26,fixed,15,openai,gpt-5.6-terra,primary,run_186,10002212,success,TRUE,completed,3656,1042,NA
gpt_terra,quality,k_fixed,27,fixed,15,openai,gpt-5.6-terra,primary,run_187,10002213,success,TRUE,completed,3656,1012,NA
gpt_terra,quality,k_fixed,28,fixed,15,openai,gpt-5.6-terra,primary,run_188,10002214,success,TRUE,completed,3656,1194,NA
gpt_terra,quality,k_fixed,29,fixed,15,openai,gpt-5.6-terra,primary,run_189,10002215,success,TRUE,completed,3656,1140,NA
gpt_terra,quality,k_fixed,30,fixed,15,openai,gpt-5.6-terra,primary,run_190,10002216,success,TRUE,completed,3656,1135,NA
gpt_terra,quality,k_fixed,31,fixed,15,openai,gpt-5.6-terra,primary,run_191,10002217,success,TRUE,completed,3656,1210,NA
gpt_terra,quality,k_fixed,32,fixed,15,openai,gpt-5.6-terra,primary,run_192,10002218,success,TRUE,completed,3656,1022,NA
gpt_terra,quality,k_fixed,33,fixed,15,openai,gpt-5.6-terra,primary,run_193,10002219,success,TRUE,completed,3656,1024,NA
gpt_terra,quality,k_fixed,34,fixed,15,openai,gpt-5.6-terra,primary,run_194,10002220,success,TRUE,completed,3656,1050,NA
gpt_terra,quality,k_fixed,35,fixed,15,openai,gpt-5.6-terra,primary,run_195,10002221,success,TRUE,completed,3656,1186,NA
gpt_terra,quality,k_fixed,36,fixed,15,openai,gpt-5.6-terra,primary,run_196,10002222,success,TRUE,completed,3656,1211,NA
gpt_terra,quality,k_fixed,37,fixed,15,openai,gpt-5.6-terra,primary,run_197,10002223,success,TRUE,completed,3656,1145,NA
gpt_terra,quality,k_fixed,38,fixed,15,openai,gpt-5.6-terra,primary,run_198,10002224,success,TRUE,completed,3656,998,NA
gpt_terra,quality,k_fixed,39,fixed,15,openai,gpt-5.6-terra,primary,run_199,10002225,success,TRUE,completed,3656,1046,NA
gpt_terra,quality,k_fixed,40,fixed,15,openai,gpt-5.6-terra,primary,run_200,10002226,success,TRUE,completed,3656,1008,NA
gpt_terra,quality,k_fixed,41,fixed,15,openai,gpt-5.6-terra,primary,run_201,10002227,success,TRUE,completed,3656,1000,NA
